Temperature (C),STD (C),I(12) (mA),STD (mA),V(43) (mV),STD (mV),MF (KGs),STD (KGs)
24.9,0.1,19.753,0.010,2.876,0.001,0.13,0.00
25.0,0.0,19.753,0.010,2.878,0.001,0.14,0.00
30.0,0.1,19.731,0.005,2.879,0.002,0.13,0.00
